name,version,license,
APScheduler,3.6.3,MIT License,
Keras-Preprocessing,1.1.2,MIT License,
Markdown,3.3,BSD License,
Pillow,7.2.0,Historical Permission Notice and Disclaimer (HPND)
PyJWT,1.7.1,MIT License,
PyYAML,5.3.1,MIT License,
SQLAlchemy,1.3.19,MIT License,
Sanic-Cors,0.10.0.post3,MIT License,
Sanic-Plugins-Framework,0.9.4,MIT License,
Werkzeug,1.0.1,BSD License,
absl-py,0.10.0,Apache Software License
aiofiles,0.5.0,Apache Software License
aiohttp,3.6.2,Apache Software License
astunparse,1.6.3,BSD License,
async-generator,1.10,Apache Software;License, MIT License"
async-timeout,3.0.1,Apache Software;License
attrs,20.2.0,MIT License,
blis,0.4.1,MIT License,
boto3,1.15.13,Apache Software License
botocore,1.18.13,Apache Software License
cachetools,4.1.1,MIT License,
catalogue,1.0.0,MIT License,
certifi,2020.6.20,Mozilla Public,License 2.0 (MPL 2.0)
cffi,1.14.3,MIT License,
chardet,3.0.4,GNU Library or,Lesser General Public License (LGPL)
click,7.1.2,BSD License,
cloudpickle,1.4.1,BSD License,
colorclass,2.2.0,MIT License,
coloredlogs,14.0,MIT License,
colorhash,1.0.2,MIT License,
cryptography,3.1.1,Apache Software License, BSD License
cycler,0.10.0,BSD,
cymem,2.0.3,MIT License,
de-core-news-sm,2.2.5,MIT,
decorator,4.4.2,BSD License,
dm-tree,0.1.5,Apache Software License
dnspython,1.16.0,ISC,
docopt,0.6.2,MIT License,
en-core-web-md,2.2.5,MIT,
fbmessenger,6.0.0,Apache Software License
filelock,3.0.12,Public Domain,
future,0.18.2,MIT License,
gast,0.3.3,BSD License,
google-auth,1.22.1,Apache Software License
google-auth-oauthlib,0.4.1,Apache Software License
google-pasta,0.2.0,Apache Software License
grpcio,1.32.0,Apache Software License
h11,0.9.0,MIT License,
h2,3.2.0,MIT License,
h5py,2.10.0,BSD License,
hpack,3.0.0,MIT License,
hstspreload,2020.10.6,BSD License,
httplib2,0.18.1,MIT License,
httptools,0.1.1,MIT License,
httpx,0.11.1,BSD License,
humanfriendly,8.2,MIT License,
hyperframe,5.2.0,MIT License,
idna,2.10,BSD License,
importlib-metadata,2.0.0,Apache Software License
ipaddress,1.0.23,Python Software,Foundation License
jieba,0.42.1,MIT License,
jmespath,0.10.0,MIT License,
joblib,0.15.1,BSD License,
jsonpickle,1.4.1,BSD License,
jsonschema,3.2.0,MIT License,
kafka-python,2.0.2,Apache Software License
kiwisolver,1.2.0,BSD,
matplotlib,3.3.2,Python Software,Foundation License
mattermostwrapper,2.2,MIT,
mitie,0.7.0,Boost License,
multidict,4.7.6,Apache Software License
murmurhash,1.0.2,MIT License,
networkx,2.5,BSD License,
numpy,1.18.5,BSD,
oauth2client,4.1.3,Apache Software License
oauthlib,3.1.0,BSD License,
opt-einsum,3.3.0,MIT,
packaging,20.4,Apache Software License, BSD License
pandas,1.1.4,BSD,
pika,1.1.0,BSD License,
plac,1.1.3,BSD License,
preshed,3.0.2,MIT License,
prompt-toolkit,2.0.10,BSD License,
protobuf,3.13.0,3-Clause BSD Li,cense
psycopg2-binary,2.8.6,GNU Library or,Lesser General Public License (LGPL)
pyasn1,0.4.8,BSD License,
pyasn1-modules,0.2.8,BSD License,
pycparser,2.20,BSD License,
pydot,1.4.1,MIT License,
pykwalify,1.7.0,MIT License,
pymongo,3.10.1,Apache Software License
pyparsing,2.4.7,MIT License,
pyrsistent,0.17.3,MIT License,
python-crfsuite,0.9.7,MIT License,
python-dateutil,2.8.1,Apache Software License, BSD License
python-engineio,3.13.2,MIT License,
python-socketio,4.6.0,MIT License,
python-telegram-bot,12.8,GNU Lesser General Public License v3 (LGPLv3)
pytz,2020.1,MIT License,
questionary,1.5.2,MIT License,
rasa,2.0.2,Apache Software License
rasa-sdk,2.0.0,Apache Software License
redis,3.5.3,MIT License,
regex,2020.9.27,Python Software,Foundation License
requests,2.24.0,Apache Software License
requests-oauthlib,1.3.0,BSD License,
requests-toolbelt,0.9.1,Apache Software License
rfc3986,1.4.0,Apache Software License
rocketchat-API,1.9.1,MIT,
rsa,4.6,Apache Software License
ruamel.yaml,0.16.12,MIT License,
ruamel.yaml.clib,0.2.2,MIT License,
s3transfer,0.3.3,Apache Software License
sacremoses,0.0.43,MIT License,
sanic,20.3.0,MIT License,
